Plot,Site,Araneae,Coleoptera,Cyclopoida,Diptera, Ephemeroptera,Gastropoda,Hemiptera,Hymenoptera,Isopoda,Julida,Lepidoptera,Lithobiomorpha,Megaloptera,Odonata,Podocopida,Stylommatophora,Rhynchobdellids,Trichoptera,Trombidiformes,Venerida
0,1,8,17,0,10,0,0,1,11,0,1,1,0,0,0,0,1,0,0,0,0
0,1,9,6,0,4,1,0,0,7,0,2,0,0,0,0,0,2,0,0,0,0
0,1,2,4,0,7,0,0,0,26,0,3,1,0,0,0,0,2,0,0,0,0
1,1,0,0,1,1,10,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
1,1,0,0,2,4,20,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0
1,1,0,3,1,2,26,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,4,1,2,0,0,0,0,1,0,0,0,0
0,0,1,3,0,2,0,0,0,6,4,4,0,0,0,0,0,2,0,0,0,0
0,0,3,13,0,2,0,0,0,1,4,10,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,7,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
1,0,0,0,0,4,19,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,5,8,18,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0
